application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission,gender_encoded,international_encoded,major_Business,major_Humanities,major_STEM,race_Asian,race_Black,race_White,race_Hispanic,race_Other,work_industry_Financial Services,work_industry_Investment Management,work_industry_Technology,work_industry_Consulting,work_industry_Nonprofit/Gov,work_industry_PE/VC,work_industry_Health Care,work_industry_Investment Banking,work_industry_Other,work_industry_Retail,work_industry_Energy,work_industry_CPG,work_industry_Real Estate,work_industry_Media/Entertainment,admission_Admit,admission_Reject,admission_Waitlist,gpa_normalized,gmat_normalized,work_exp_normalized
1,Female,False,3.3,Business,Asian,620.0,3.0,Financial Services,Admit,1,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.34156431572963775,-0.6398772922485483,-2.0048643089764586
2,Male,False,3.28,Humanities,Black,650.8186528497409,5.0,Investment Management,Reject,0,,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20592717104498204,0.0,-0.02174918999231319
3,Female,True,3.3,Business,White,710.0,5.0,Technology,Admit,1,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.34156431572963775,1.228762345672985,-0.02174918999231319
4,Male,False,3.47,STEM,Black,690.0,5.021934369602763,Technology,Reject,0,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.4944800455492127,0.8135090928015333,0.0
5,Male,False,3.35,STEM,Hispanic,590.0,5.0,Consulting,Reject,0,,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6806571774412785,-1.2627571715557262,-0.02174918999231319
6,Male,False,3.18,Business,White,610.0,6.0,Consulting,Reject,0,,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4722585523782934,-0.8475039186842742,0.9698083694997597
7,Female,False,2.93,STEM,Other,590.0,3.0,Technology,Admit,1,,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.1677228609364882,-1.2627571715557262,-2.0048643089764586
8,Male,True,3.02,Business,White,630.0,6.0,Financial Services,Reject,0,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.5573557098555388,-0.4322506658128224,0.9698083694997597
9,Male,False,3.24,Business,White,590.0,2.0,Nonprofit/Gov,Reject,0,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.06534711832432633,-1.2627571715557262,-2.9964218684685315
10,Male,False,3.27,Humanities,Asian,690.0,3.0,Consulting,Reject,0,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1381085987026557,0.8135090928015333,-2.0048643089764586
11,Male,False,3.249635578583765,Humanities,White,580.0,5.0,Technology,Reject,0,,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.0117496204663656e-15,-1.470383797991452,-0.02174918999231319
